postalCode,cityName,stateName
33893,City_TUDHT,State_WMIZU
78942,City_XFSKE,State_RSNOH
00943,City_JHOID,State_MTBAY
45553,City_XMGTK,State_UHYFG
12875,City_QBMWA,State_UNOCM
89941,City_DQTFX,State_TSCDV
95478,City_BLSYA,State_KHGEG
64405,City_MRMOH,State_ZQPXA
55420,City_AEFLD,State_LHRTW
15620,City_JFKSP,State_FHENI
16476,City_GHZBU,State_PPIHN
67980,City_AMGEX,State_GGXMX
20505,City_LAVYU,State_QWFHZ
22611,City_KOQVB,State_FUCVU
46846,City_ACBBZ,State_ITKVS
74857,City_TXEHP,State_QGAHA
99422,City_AADDE,State_MUXCE
65681,City_MZYBP,State_SCPFU
29242,City_IZQHN,State_EYIBV
71413,City_HUZCA,State_VZIVS
17868,City_IBJHU,State_AULJA
07498,City_PEELY,State_UFTWI
35958,City_MBRGG,State_QRMPT
93966,City_IULCE,State_FKHJR
21474,City_SKURX,State_SOFYP
64405,City_HGMVP,State_OHDIW
46708,City_GORMI,State_LUQSH
39430,City_IWANS,State_ZUHOR
38354,City_XRFPP,State_OBFUC
70711,City_ZJHFY,State_KZVEC
,City_CBHVN,State_WUTMD
45799,City_CHFTG,State_IIGKF
26128,City_YLSGW,State_KFMGF
12362,City_SRGTC,State_VUWZR
00900,City_UZOYN,State_TYTTA
23835,City_MCVFI,State_VKMYT
30098,City_MVDNB,State_QDTXH
16068,City_DQKFC,State_LCTEE
03537,City_ROSUN,State_CJIWN
84809,City_WUCCU,State_YSRGQ
84842,City_YWRBD,State_UFBZT
94134,City_MMDLK,State_VNYUY
46339,City_YMMTD,State_ZHZIT
88105,City_FGDXB,State_JIWYT
63374,City_LBIHO,State_JGEWK
11421,City_QDUSL,State_IMNZO
!!@@#,City_GPKWI,State_NRYWE
08313,City_CLDQE,State_FYSAT
57491,City_UVRDC,State_OWGPP
33961,City_KRNYW,State_JJOIJ
83479,City_UKBWR,State_IEBMZ
57051,City_GZUXK,State_MAMOY
98709,City_RIFBX,State_WKGPR
19041,City_FLWPR,State_VQGPA
41425,City_KNECB,State_POIKD
98158,City_RAYZP,State_DIDEQ
75827,City_NAASL,State_FRNTW
22300,City_WGZGN,State_VJUGG
74681,City_KEOVU,State_ETZYK
61864,City_CLROR,State_KKNZY
58308,City_QFESS,State_ILXNO
37218,City_QIXTN,State_ZQFAG
53118,City_KBHQT,State_KWROI
11334,City_DSYNP,State_ABEIZ
17968,City_KUGOW,State_YECTZ
82610,City_MBCNN,State_RLMHS
20844,City_DVOCF,State_PRDCB
15690,City_ZJDWM,State_LVMWI
74414,City_PJFGT,State_JFRXH
68398,City_EKCYC,State_EPLJZ
74434,City_GDWIS,State_IPKIE
70948,City_UUAUI,State_ASBNQ
85354,City_FILGQ,State_QWNVD
98062,City_ZEGTK,State_QCXKC
88802,City_AVVRU,State_SEYZN
49487,City_IQCWO,State_ZVOHE
00294,City_LUTFO,State_FSXOI
37494,City_JZTCL,State_SICJF
41343,City_RWKET,State_MKSNO
29045,City_PFMGE,State_OXHKL
08459,City_FHJNZ,State_RBQAL
78865,City_NOLQT,State_ODWAD
13663,City_JQIOG,State_NZHTR
26495,City_OUASW,State_ANWIE
74926,City_ECNDD,State_XEYBY
72903,City_WIOEW,State_XHTXW
57593,City_EPLOV,State_KKITT
73273,City_KDDAO,State_RCUOH
29312,City_CZHBN,State_IUSZZ
15992,City_GNZTQ,State_FMKLR
82203,City_AADKJ,State_OYVBZ
37684,City_BVMXZ,State_QOPHZ
98684,City_PVSXW,State_TDSNB
03109,City_PFYHO,State_SIXFC
43570,City_EWDEO,State_PVUWI
48936,City_GRNAZ,State_SGEHS
58717,City_QQIQN,State_CKJZU
21090,City_VESWB,State_DAZKI
00272,City_FCVIB,State_VIZLU
34026,City_HIGMM,State_MIVUS
74747,City_NJGNZ,State_YKFHJ
18158,City_QMVUA,State_POILB
03989,City_AIPRK,State_HAXRY
64292,City_BGCSN,State_DLHGD
80536,City_PUWRI,State_SBXMP
51456,City_OLLIM,State_QSCDF
55723,City_GIJNO,State_KVITW
62386,City_LKKGX,State_NDCBA
35395,City_NZPGH,State_MLEYG
44410,City_DLPZC,State_NZTMF
82808,City_DNCKX,State_HSQQP
45376,City_DFOTV,State_JALSL
69389,City_PJZHO,State_AXUML
85735,City_BZTUS,State_TEVAL
83915,City_RBNTS,State_FUKNM
59746,City_LPKAH,State_WLQYW
98927,City_ZDRHL,State_RMPSX
68493,City_BLJBA,State_NNXXZ
81390,City_FJMWF,State_REZZW
03949,City_ZTCTN,State_TMVID
81466,City_ZYBMQ,State_AZWDE
00085,City_FRJWO,State_HEOMN
17680,City_YKUHJ,State_MURLO
16721,City_IUUYF,State_GVFHD
57994,City_GWAIZ,State_PAPTR
94242,City_YKFHJ,State_NBXHZ
84133,City_XUJTP,State_FJRZV
59692,City_WGYZT,State_IJMDS
20430,City_GCDNS,State_JPRCM
64600,City_QCFDE,State_PJIHO
82275,City_EJVES,State_RZXUJ
78259,City_YMPTV,State_JCRLJ
38620,City_SOYFR,State_RULUL
24664,City_PCXZX,State_AUQAB
17010,City_PEPIU,State_FRBRK
19162,City_BRTYZ,State_HIRRM
65826,City_YBUTA,State_KLHJS
